State,District,Subdistt,Town/Village,Ward,EB,Level,Name,TRU,Area (in ha),TOT_P,Class,VP/MC,VP Area,VP Population,Forest Area (in Hectares),Area under Non-Agricultural Uses (in Hectares),Barren & Un-cultivable Land Area (in Hectares),Permanent Pastures and Other Grazing Land Area (in Hectares),Land Under Miscellaneous Tree Crops etc. Area (in Hectares),Culturable Waste Land Area (in Hectares),Fallows Land other than Current Fallows Area (in Hectares),Current Fallows Area (in Hectares),Net Area Sown (in Hectares),Total Unirrigated Land Area (in Hectares),Area Irrigated by Source (in Hectares),Canals Area (in Hectares),Wells/Tube Wells Area (in Hectares),Tanks/Lakes Area (in Hectares),Waterfall Area (in Hectares),Other Source (specify) Area (in Hectares)
30,585,05613,626774,0000,000000,VILLAGE,Ivrem-Buzruco ,Rural,500.89,666,D,Dongurli- Thane,6901.66,5488,282.19,15.27,0,0,0,3.74,70.5,30.85,98.34,98.02,0.32,0.32,0,0,0,0
30,585,05613,626775,0000,000000,VILLAGE,Ivrem-Curdo ,Rural,361.69,218,D,Dongurli- Thane,6901.66,5488,242.48,12.32,0,0,0,0.98,45.2,10.3,50.41,48.26,2.15,0,2.15,0,0,0
30,585,05612,626744,0000,000000,VILLAGE,Latambarcem ,Rural,3654.35,6722,B,Latambarcem,3654.35,6722,88.25,350.5,120,60,80,1111,70,18,1756.6,1681.2,75.4,6,35.4,0,34,0
30,586,05619,627027,0000,000000,VILLAGE,Loliem,Rural,4130.8,4797,C,Loliem- Polem,4165,4797,832.9,1080.9,0,0,0,758.7,0,0,1458.3,1422.9,35.4,0,0,0,21.3,14.1
30,586,05616,626889,0000,000000,VILLAGE,Loutulim ,Rural,1781,6121,B,Loutulim,1781,6121,0,0,525.3,0,0,400.4,0,0,855.5,813.2,42.3,0,0,42.3,0,0
30,586,05616,626902,0000,000000,VILLAGE,Macasana ,Rural,500,1972,D,Macasana,500,1972,0,113.1,0,0,0,56.1,0,0,330.8,277.6,53.2,0,0,0,0,53.2
30,585,05612,626752,0000,000000,VILLAGE,Maem ,Rural,2104.07,7544,B,Maem,2239.82,8717,0,40,755.56,167.3,30,5,15.21,20,1071,979,92,0,0,92,0,0
30,586,05617,626957,0000,000000,VILLAGE,Maina ,Rural,1456,505,D,Cavorem,7640,3508,443.9,290.9,0,0,0,460.2,0,0,261,201,60,0,15,0,40,5
30,586,05616,626892,0000,000000,VILLAGE,Majorda ,Rural,438,2813,C,Majorda,917,6570,0,40.3,0,0,0,3.4,0,0,394.3,386.1,8.2,0,0,0,0,8.2
30,585,05611,626711,0000,000000,VILLAGE,Malar ,Rural,470.27,1630,D,Sao Matias,642.7,2252,0,118.08,0,0,0,28.19,0,0,324,324,0,0,0,0,0,0
30,585,05613,626796,0000,000000,VILLAGE,Maloli ,Rural,561.76,416,D,Nagargaon,10172.57,4652,290.36,2.1,14.1,0,0,24.81,4.25,6.22,219.92,198.3,21.62,8.28,5.6,0,0,7.74
30,585,05613,626838,0000,000000,VILLAGE,Malpona ,Rural,398.1,277,D,Cotorem,3993.35,4102,237.78,5.06,27.75,0,2.08,64.92,12.08,12.08,36.35,35.16,1.19,0,0.65,0.24,0,0.3
30,585,05611,626720,0000,000000,VILLAGE,Mandur ,Rural,205.22,3113,C,Azossim - Mandur,535.06,4255,0,30.21,0,0,0,20.01,0,0,155,148.05,6.95,0,0,0,0,6.95
30,586,05617,626968,0000,000000,VILLAGE,Mangal ,Rural,1213,296,D,Cavorem,7640,3508,1007.7,24,0,0,0,116,0,0,65.3,50.3,15,0,5,0,10,0
30,585,05610,626671,0000,000000,VILLAGE,Marna ,Rural,328.94,1234,D,Siolim,1550.94,12170,41.55,7.34,28.92,0,176.94,0,0,0,74.19,73.89,0.3,0,0.3,0,0,0
30,585,05610,626689,0000,000000,VILLAGE,Marra ,Rural,326.56,1988,D,Pilerne - Marra,980.56,7815,0,0.79,0,0,0,6.9,0,2.69,316.18,315.85,0.33,0,0,0.33,0,0
30,586,05618,626994,0000,000000,VILLAGE,Maulinguem ,Rural,518,354,D,Calem,8450,4364,288.1,34.4,0,0,0,42.3,0,0,153.2,150.8,2.4,0,0,0,0,2.4
30,585,05612,626749,0000,000000,VILLAGE,Maulinguem North ,Rural,739,1457,D,Ona - Maulinguem - Curchirem,1699.57,4185,0,15,235,71,27,10,10,7,364,356,8,0,4,0,0,4
30,585,05613,626806,0000,000000,VILLAGE,Mauzi ,Rural,629.1,1375,D,Mauzi,2796.33,4080,0,148.1,0,0,0,39.29,95,40,306.71,305.08,1.63,1.63,0,0,0,0
30,585,05613,626840,0000,000000,VILLAGE,Melauli ,Rural,1629.54,1636,D,Guleli,2871.2,3119,81.38,3.98,139.09,0,0,14.69,2.8,22.8,1364.8,1335.38,29.42,29.42,0,0,0,0
30,585,05612,626741,0000,000000,VILLAGE,Mencurem ,Rural,467.97,1381,D,Mencurem - Dumacem,797.19,1677,0,58.47,53,12,77.5,25,41,0,201,121,80,40.5,0,39.5,0,0
30,586,05618,626983,0000,000000,VILLAGE,Moissal ,Rural,301,8,D,Kirlapol-Dabal,4910,6307,0,52,0,0,0,115.5,0,0,133.5,130.2,3.3,0,0,0,0,3.3
